Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,348.609985,351.019989,344.970001,348.279999,333.730988,3425600
2022-01-19,351.000000,356.070007,343.500000,343.739990,329.380585,3374700
2022-01-20,345.450012,355.940002,342.040009,342.690002,328.374573,2817300
2022-01-21,341.390015,344.079987,335.250000,335.630005,321.609436,2830700
2022-01-24,328.299988,339.579987,319.100006,339.000000,324.838654,4544500
2022-01-25,331.910004,339.690002,327.209991,334.950012,320.957855,3625400
2022-01-26,341.420013,343.959991,328.049988,329.890015,316.109222,4422200
2022-01-27,337.529999,341.730011,331.010010,333.359985,319.434235,2778000
2022-01-28,333.899994,343.059998,327.170013,342.850006,328.527863,2457400
2022-01-31,345.000000,353.700012,343.540009,353.579987,338.809601,3159300
2022-02-01,354.220001,356.700012,348.880005,353.420013,338.656311,2087200
2022-02-02,354.399994,360.100006,353.510010,359.470001,344.453552,2603200
2022-02-03,345.279999,351.929993,343.980011,345.549988,331.115051,2706300
2022-02-04,344.890015,350.540009,340.850006,347.500000,332.983612,2142800
2022-02-07,346.179993,348.269989,343.010010,343.959991,329.591400,1265100
2022-02-08,339.980011,345.929993,339.859985,345.070007,330.655090,2197700
2022-02-09,351.630005,356.529999,351.519989,355.529999,340.678101,2430500
2022-02-10,346.089996,351.579987,339.989990,342.390015,328.087067,2457700
2022-02-11,343.940002,344.980011,327.290009,329.179993,315.428894,3091600
2022-02-14,323.079987,327.869995,321.459991,326.130005,312.506317,2689900
2022-02-15,332.720001,333.329987,327.350006,329.410004,315.649292,2395600
2022-02-16,325.869995,335.440002,325.109985,333.720001,319.779175,2867500
2022-02-17,332.920013,332.920013,322.250000,322.910004,309.420807,2148000
2022-02-18,322.410004,326.489990,320.100006,321.179993,307.763092,2421800
2022-02-22,320.010010,327.980011,317.790009,321.109985,307.695984,2794300
2022-02-23,322.769989,324.820007,312.589996,313.160004,300.078064,2192200
2022-02-24,302.350006,316.579987,300.709991,316.170013,302.962372,3785900
2022-02-25,317.329987,323.170013,316.390015,322.510010,309.037476,2552600
2022-02-28,318.690002,319.450012,311.910004,316.019989,302.818604,3419300
2022-03-01,317.000000,317.380005,309.760010,311.350006,298.343719,2525400
2022-03-02,315.420013,320.260010,312.549988,318.329987,305.032135,2220800
2022-03-03,322.839996,323.690002,315.600006,318.950012,305.626251,2120900
2022-03-04,314.549988,316.320007,310.000000,314.160004,301.036346,1917300
2022-03-07,313.179993,314.000000,304.600006,305.019989,292.278168,2908100
2022-03-08,303.709991,309.010010,297.359985,301.619995,289.020111,2902600
2022-03-09,311.029999,312.690002,307.750000,309.420013,296.494354,2825900
2022-03-10,305.000000,310.160004,304.019989,309.519989,296.590149,2049000
2022-03-11,314.410004,318.720001,311.209991,311.579987,298.564087,3811900
2022-03-14,309.070007,313.149994,303.899994,307.679993,294.827026,3156600
2022-03-15,311.299988,316.920013,310.250000,316.230011,303.019867,2695200
